排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
11,辛德勒的名单,9.5,1247276,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。,1993,剧情/历史/战争,195分钟,tt0108052,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,1543335,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。,2009,剧情,93分钟,tt1028532,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,1879655,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,2019,剧情/音乐,120分钟(国际版),tt0120731,https://movie.douban.com/subject/1292001/
14,疯狂动物城,9.3,2320256,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,喜剧/动画/冒险,109分钟(中国大陆),tt2948356,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,9.2,2078663,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,英俊版憨豆，高情商版谢耳朵。,2011,剧情/喜剧/爱情/歌舞,171分钟(印度),tt1187043,https://movie.douban.com/subject/3793023/
16,机器人总动员,9.3,1493631,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,小瓦力，大人生。,2008,科幻/动画/冒险,98分钟,tt0910970,https://movie.douban.com/subject/2131459/
17,放牛班的春天,9.3,1474039,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,天籁一般的童声，是最接近上帝的存在。,2004,剧情/音乐,97分钟,tt0372824,https://movie.douban.com/subject/1291549/
18,无间道,9.3,1565395,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,香港电影史上永不过时的杰作。,2003,剧情/惊悚/犯罪,101分钟,tt0338564,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,743638,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,比利·怀德满分作品。,2025,剧情/悬疑/惊悚/犯罪,116分钟,tt0051201,https://movie.douban.com/subject/1296141/
20,寻梦环游记,9.1,1989743,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,死亡不是真的逝去，遗忘才是永恒的消亡。,2017,喜剧/动画/音乐/奇幻,105分钟,tt2380307,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,9.2,1709830,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,一生所爱。,2014,喜剧/爱情/奇幻/古装,95分钟,tt0114996,https://movie.douban.com/subject/1292213/
22,熔炉,9.3,1036362,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,剧情,125分钟,tt2070649,https://movie.douban.com/subject/5912992/
23,触不可及,9.3,1296281,"奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧",,满满温情的高雅喜剧。,2011,剧情/喜剧,112分钟,tt1675434,https://movie.douban.com/subject/6786002/
24,教父,9.3,1107708,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。,1972,剧情/犯罪,175 分钟,tt0068646,https://movie.douban.com/subject/1291841/
25,末代皇帝,9.3,1029364,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987,剧情/传记/历史,163分钟,tt0093389,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,9.2,1423555,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。,2002,奇幻/冒险,152分钟,tt0241527,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,9.1,1688543,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,平民励志片。,2008,剧情/家庭/传记,117分钟,tt0454921,https://movie.douban.com/subject/1849031/
28,龙猫,9.2,1411818,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。,2018,动画/奇幻/冒险,86分钟,tt0096283,https://movie.douban.com/subject/1291560/
29,活着,9.3,970786,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。,1994,剧情/家庭/历史,132分钟,tt0110081,https://movie.douban.com/subject/1292365/
30,怦然心动,9.1,2052056,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。,2010,剧情/喜剧/爱情,90分钟,tt0817177,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,9.2,1193387,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,无尽的黑暗。,2008,剧情/动作/科幻/惊悚/犯罪,152分钟,tt0468569,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,9.3,911120,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,史诗的终章。,2004,剧情/动作/奇幻/冒险,201分钟,tt0167260,https://movie.douban.com/subject/1291552/
33,我不是药神,9.0,2351337,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,对我们国家而言，这样的电影多一部是一部。,2018,剧情/喜剧,117分钟,tt7362036,https://movie.douban.com/subject/26752088/
